imu_mx,imu_my,imu_mz
-9.6,10.95,52.2
-7.35,9.45,56.25
-4.2,8.85,58.95
-0.45,7.8,61.8
1.95,6.3,64.8
12.3,-12.3,73.8
13.5,-20.7,73.5
10.65,-28.65,71.55
9.6,-36.15,68.55
9,-42.9,64.35
5.25,-47.55,60
1.65,-53.55,53.1
-3.75,-56.7,44.4
-7.95,-57,33.15
-11.25,-56.25,21.6
-6.75,-57.75,9.15
-1.35,-58.05,-0.6
0.9,-55.5,-5.25
0.3,-51.15,-9.3
-4.05,-45.45,-10.8
-7.65,-37.35,-14.4
-7.5,-30.3,-15.75
-9.3,-23.1,-17.25
-5.7,-12.3,-18.6
0.15,-4.65,-20.4
8.1,0.3,-23.25
15.45,4.95,-22.5
23.4,5.4,-22.2
26.1,5.1,-21.15
28.5,6.75,-20.25
29.4,6.3,-20.4
33.75,7.8,-19.65
34.05,7.2,-20.25
40.65,4.5,-19.2
43.5,2.1,-18.3
44.85,0.45,-17.25
45.9,0.75,-19.95
45.9,-1.5,-18.15
44.25,-2.85,-20.1
41.7,-3,-21
37.95,-3.9,-21.9
35.7,-4.35,-24.45
32.4,-2.1,-24.45
32.1,1.05,-23.25
33.3,1.05,-22.8
33,2.85,-22.65
28.8,6,-21.75
27.75,6.45,-21
24.6,5.4,-22.2
22.95,6,-22.05
21.9,3.9,-24.15
19.35,3.15,-24.15
17.55,1.2,-24.15
17.85,-0.45,-24.75
19.5,-5.25,-27.15
21.15,-15.75,-26.7
22.95,-23.25,-26.85
26.4,-31.5,-24.45
27.45,-38.25,-22.95
31.05,-45.45,-18.45
32.85,-50.7,-14.4
34.5,-55.95,-9.15
34.5,-59.4,-3.45
35.1,-59.85,-1.05
35.1,-63.3,2.85
36.45,-66.6,15.3
36.6,-65.25,15.9
36.75,-65.85,19.65
37.5,-65.85,21.9
37.65,-64.5,23.85
38.1,-65.7,25.05
37.95,-65.1,26.7
38.1,-64.5,25.35
38.55,-65.1,25.5
39.15,-64.5,28.95
39.9,-58.05,47.85
39.3,-53.55,52.05
38.55,-50.55,57.45
36.75,-45.15,62.25
34.2,-39.15,66.9
32.55,-35.1,69
30.3,-23.55,72.6
24.15,-15,73.5
24.15,-8.1,72.75
19.95,-1.8,72.9
14.25,20.4,59.7
10.65,19.8,57
10.5,23.4,52.35
9.6,28.2,47.55
7.95,28.35,43.65
7.95,29.1,42.3
5.7,29.85,39.3
6.75,29.55,40.5
6.6,28.95,39.15
4.8,30.45,33.75
-1.05,29.7,28.2
-3.3,30.45,25.65
-6.6,25.95,25.05
-9.6,22.05,24.3
-13.8,20.4,24.75
-13.95,20.1,24.6
-15.3,17.7,23.4
-15.45,19.05,21
-15.45,18.3,18.15
-15.9,15.9,16.65
-17.55,11.55,8.4
-17.85,9.6,7.35
-18.6,9.3,7.8
-19.2,6.45,7.5
-20.55,6.3,6.3
-18.75,5.25,5.7
-21,1.5,3.9
-22.2,-0.75,3.15
-23.4,-7.8,3.45
-25.65,-16.5,4.8
-17.1,-46.65,10.95
-16.2,-51.9,11.55
-13.5,-53.55,13.95
-12.9,-54.9,12.6
-11.1,-56.1,11.25
-7.5,-57.45,9.15
-5.25,-58.5,8.85
-3.45,-57.75,5.55
-3,-59.4,4.5
-1.8,-59.55,4.95
7.95,-64.35,6.6
11.85,-66,6.9
13.5,-67.35,7.35
14.55,-66.6,7.35
15.9,-65.7,7.2
16.95,-65.7,7.2
16.2,-65.7,8.25
15.6,-65.4,5.25
18.45,-66,6.15
17.1,-65.1,5.55
-7.65,-48.45,-4.95
-12.3,-37.2,-10.35
-13.5,-30.3,-12.75
-13.65,-20.55,-13.05
-11.85,-11.7,-14.85
-5.55,-1.5,-18.15
5.25,7.05,-17.55
17.1,12.75,-17.85
25.5,13.65,-17.4
30.45,13.05,-15.3
42.15,4.5,-16.95
40.65,4.2,-18.75
40.35,3,-19.5
41.1,2.55,-21.3
42.45,0.75,-18.75
42.15,2.25,-19.2
42.75,2.1,-18.3
43.5,2.1,-19.65
43.05,0.9,-20.4
42.9,-0.3,-18.45
41.7,0.75,-19.5
41.7,0,-19.95
42.9,-0.3,-20.25
42.45,-0.3,-19.95
42.45,-0.3,-19.5
42.75,-0.15,-20.1
43.05,-0.45,-20.1
42.9,-1.05,-19.2
42.9,-0.3,-19.2
43.5,-0.45,-21.15
43.65,-3,-19.95
43.2,-1.5,-19.95
42.45,-0.75,-18.75
43.8,-2.1,-20.1
44.4,-3,-19.5
43.2,-1.8,-19.2
45.3,-2.1,-19.65
44.55,-1.65,-19.35
43.95,-3.75,-18.45
44.55,-2.1,-20.1
44.7,-1.8,-18.75
44.85,-2.4,-20.1
44.25,-1.65,-19.65
43.95,-2.55,-19.2
43.05,-1.2,-20.1
42.75,-0.9,-20.4
43.2,-2.25,-18.45
44.55,-2.85,-20.1
43.05,-2.85,-19.35
44.25,-3.15,-19.65
45.9,-3.3,-18.45
45.45,-2.55,-19.2
44.7,-3.3,-19.2
46.2,-4.2,-19.5
44.55,-2.4,-19.65
45.3,-3.6,-19.05
45.3,-3.15,-19.05
45.9,-3.3,-19.5
46.05,-3.9,-19.65
46.35,-3.9,-19.05
45.3,-3.9,-20.1
45.15,-3,-19.5
44.85,-5.1,-18.6
45.6,-3.6,-19.65
