cali_x,cali_y,cali_z
-13.684096269955111,17.578362422049512,-47.354123728958804
-12.261101759366712,17.09499052959554,-47.6738402968384
-14.632759277014046,17.441690326625885,-48.27447025053417
-13.684096269955111,17.884309104533692,-49.229216870065045
-14.790869778190535,17.291433859686872,-48.58118241041625
-15.26520128172,17.605531165080283,-48.11408751147185
-15.423311782896489,17.45527469814127,-49.82271449397459
-14.790869778190535,16.22062047099224,-48.093320647900605
-15.10709078054351,17.143894267050936,-48.26293353723929
-15.423311782896489,16.69040799193082,-49.02918948182194
-14.316538274661067,18.50706996671436,-49.07764419742077
-13.684096269955111,18.649175810744143,-47.84198549147445
-14.632759277014046,18.512503715320516,-47.20464887680463
-14.316538274661067,18.50706996671436,-48.29880262929817
-15.897643286425955,17.769372003534684,-48.73254634053211
-15.26520128172,19.135264577501186,-49.233832594903596
-12.102991258190222,19.080927091439637,-48.64851491162463
-10.205665244072357,19.048324599802708,-48.67116825435609
-10.679996747601825,19.209448563954037,-47.26652678485857
-10.521886246425336,19.512678372135138,-48.67620276365221
-11.15432825113129,18.146785798168633,-48.33068482290525
-11.470549253484268,18.45816622925897,-48.800087584268915
-13.209764766425646,17.876158481624458,-48.144502010376286
-13.8422067711316,18.192972661320947,-48.76589752824256
-14.316538274661067,17.130309895535547,-48.27237243004406
-16.055753787602445,17.61911553659567,-48.88349018678966
-16.213864288778932,16.398045680962024,-49.01387721140513
-17.162527295837865,15.037586855601676,-48.50881539991174
-18.585521806426264,14.14419867687683,-46.76075381015736
-18.585521806426264,12.461491923213838,-48.130365055911895
-23.48694734289742,3.2143412108417224,-47.89270590335554
-23.012615839367953,-0.6181429431197707,-49.382635155133286
-24.593720851132844,-2.1207076125099005,-47.465170717969386
-24.593720851132844,-3.3444943424466227,-46.6628356393987
-24.435610349956352,-5.488837994138963,-46.46784146105096
-23.012615839367953,-9.18465005267683,-47.03742419125333
-22.22206333348551,-9.504181106676398,-47.1967580200706
-21.115289825250088,-10.594012615492574,-46.72211070748164
-21.115289825250088,-10.288065933008392,-46.72798408509367
-19.37607431230871,-12.000658304005235,-48.118360895018704
-20.64095832172062,-12.13189665082271,-48.256090291349565
-20.324737319367642,-11.372463693218412,-48.58608591975057
-19.37607431230871,-10.470924891584332,-47.368886214956234
-18.111190302896798,-13.552126710850759,-47.636791294572674
-17.95307980172031,-14.62565697384847,-48.55273213323864
-16.055753787602445,-16.187992877906304,-48.54601858790998
-16.53008529113191,-18.627415714870512,-48.80490485857996
-15.581422284072978,-17.266956889510165,-48.21958847470172
-17.95307980172031,-17.226203774964002,-48.191271796287396
-18.111190302896798,-19.059166995566013,-46.12915567493556
-12.893543764072668,-20.06666389502011,-48.19882031172973
-12.577322761719689,-19.30723093741581,-49.774962449126896
-13.684096269955111,-19.28821281729427,-48.515601490204055
-12.735433262896178,-18.386674015660194,-48.07724335353231
-12.577322761719689,-18.23641754872118,-49.32821432989542
-10.521886246425336,-19.03660362087164,-50.116913575280364
-9.88944424171938,-19.200444459326036,-48.87538149172203
-9.257002237013426,-19.9761786627488,-48.40094422106223
-8.150228728778002,-20.607090147838704,-47.46780203401775
-7.675897225248537,-21.992000841926743,-47.60280348407103
-2.1420296840714275,-22.087091442534454,-48.9150222427006
-0.7190351734830266,-22.264516652504245,-49.0848438745677
-1.1933666770124924,-22.25636602959501,-49.079180538884835
0.387738334752396,-23.048401478836237,-49.08337488046432
0.387738334752396,-22.742454796352053,-47.99887006270472
2.1269538476937715,-21.395580342507092,-49.29221233512549
3.70805885945866,-22.187615791748314,-48.984870049455935
5.289163871223549,-20.685051122358185,-48.25427315500302
6.870268882988436,-20.25329984166269,-47.814656066157056
10.348699908871192,-18.018470957699037,-47.58870089933921
15.408235946518834,-15.657837475524067,-47.384560206936925
17.62178296298968,-16.001820398251333,-47.09357910192924
18.25422496769563,-14.024034459316468,-47.9181487387738
18.886666972401585,-11.89327517913951,-47.03220361455469
19.360998475931055,-10.67763907211202,-48.61904359693084
20.1515509818135,-10.385276761143226,-47.85551429922504
20.467771984166475,-8.096110391118025,-47.903340188437134
21.890766494754875,-6.284882164940636,-47.79980214753336
22.20698749710785,-5.0665291836100685,-48.917449410475
21.25832449004892,-5.662121302759967,-47.95976610213811
19.360998475931055,-6.85330554105976,-48.69246081708115
20.625882485342963,-6.722067194242292,-49.64510961612191
21.25832449004892,-6.426988008970419,-49.035460853479684
21.890766494754875,-5.825962141214366,-48.89899040932303
21.25832449004892,-6.426988008970419,-47.94508265810805
22.365097998284345,-2.9276192805238828,-48.02584095057301
23.78809250887274,-4.022884537946209,-47.08766425423242
22.68131900063732,-1.5562929579512226,-47.432973452450966
22.839429501813807,-0.33522310231757774,-48.081427995958094
23.15565050416679,-1.1055235571341844,-48.38205673629898
23.78809250887274,4.237675889126669,-47.24624544975708
21.25832449004892,5.657905949154722,-48.48861770103206
20.942103487695945,7.49901979266596,-48.987387350455855
22.20698749710785,8.089178163209702,-47.30078488429784
20.625882485342963,7.045533517545844,-48.0401918451688
20.942103487695945,7.957939816392233,-48.52889247600034
21.100213988872433,8.567116307057516,-48.38675869616082
21.5745454924019,10.241672437811278,-47.178579099713666
22.048876995931362,10.692441838628316,-47.50458912906361
20.309661482989988,13.169900915835614,-47.68657889941382
18.728556471225097,17.021403189918647,-47.42958170670554
16.198788452401278,17.217846520009974,-48.02538719303434
12.878467927695015,18.192740927827142,-47.69182734884133
12.246025922989059,20.039288519944538,-48.65412638201678
8.135152892400347,20.72182061679291,-48.461022581031465
7.028379384164924,20.281918713188176,-48.906303005560304
6.079716377105992,20.910113323975008,-47.972113207671505
4.656721866517591,20.322671827734343,-49.18952295439502
3.5499483582821725,19.576823241645428,-49.16162506043826
3.70805885945866,21.71573314473162,-49.36039479590792
3.233727355929194,22.18280379136712,-48.5846999585205
3.8661693606351473,21.10112290546018,-48.88323087837127
4.498611365341104,21.702148773216233,-49.369833688712696
5.605384873576527,19.694477216947515,-49.34487118416122
5.131053370047061,18.784787792404202,-49.94466097014034
5.447274372400035,16.178807242682513,-50.98889101293167
4.814832367694082,12.518314550084654,-50.75509105371905
6.5540478806354585,11.876535567782442,-50.91987817629001
7.186489885341415,12.477561435538494,-51.0949443593824
5.763495374753014,10.666333209361104,-52.44462890928233
5.605384873576527,-3.8634173343344025,-54.18874377126894
5.289163871223549,-6.611503728085873,-54.132107815638804
5.131053370047061,-10.739067067319237,-52.337477989445816
7.028379384164924,-14.290056407524244,-51.20220929426736
7.028379384164924,-16.890603208639778,-49.59460244831997
9.558147402988748,-20.299486704815006,-49.09289481068944
11.771694419459589,-22.479149722447357,-46.585917049266335
11.139252414753635,-24.609909002624306,-45.914179037240274
12.404136424165547,-28.3030041868591,-43.83381265726488
15.408235946518834,-30.95517159973311,-41.327463722228515
15.250125445342348,-40.436801882439624,-29.305109402231402
15.72445694887181,-43.04549930646439,-27.547397578342363
