cali_x,cali_y,cali_z
-13.432944008502497,18.525421406358067,-47.838499593488464
-13.404917606484622,19.18130887517211,-48.03719369444405
-13.460970400010474,18.72165498723339,-47.41675496402849
-13.446957204256487,18.66544578383371,-47.58647362327786
-13.517023204046227,18.65313862396502,-47.66824244092058
-13.979458779536737,18.217093727134596,-47.57151157746316
-14.147617170624194,18.081390637927452,-47.643644122974486
-13.811300388449279,18.157228059369668,-47.634337284001326
-14.525973550570976,17.713197290939057,-48.08176834271327
-15.731108679691157,17.60209230449018,-47.30556026939064
-13.783273986431402,19.67920576157866,-47.02534160742924
-13.685181595133685,19.746724904707513,-47.20403369192507
-13.545049595554204,20.120569167066407,-47.25419725854435
-13.825313584203268,19.791956564863604,-47.21334370521573
-14.049524768816578,19.02896921861202,-47.38630046673035
-12.536099249029457,19.551837178140897,-47.89401192707521
-11.190832120329791,20.372047165160108,-47.62041048976657
-10.06977618360037,20.6946845641709,-47.687317009524165
-9.789512198104275,20.688036428237055,-47.65775485693299
-10.195894976915962,21.368197701760263,-47.422537845912075
-10.714383349085294,20.0673921882348,-47.788292543422486
-11.260898120119533,19.647310936592113,-47.75950491781468
-11.905505282451488,19.802293619900205,-47.53474294395056
-12.80235004192453,19.222892169224924,-47.62545268089141
-13.755247584413528,18.35146719946733,-47.77321806467269
-14.539986746324963,18.03482124193049,-47.59431772710026
-16.02538586409421,16.840766984969253,-47.44665672157906
-16.193544255181667,15.9507272316433,-47.66008763459169
-17.49677178610947,14.808228479957002,-47.62317548671292
-18.267497752266916,13.555313888549284,-47.69320370391671
-21.966982356190993,3.599216333499443,-48.075353192546046
-22.401391529663623,0.9274350384094167,-47.91967026243818
-23.340275876398632,-1.0618581355917736,-47.45276522627926
-24.12501503831007,-2.090933161827921,-47.11709498937026
-23.802711451889145,-4.836541210126496,-47.03780433970614
-22.625602714276937,-7.462734102152382,-47.2185943731836
-21.574612769980323,-9.094122322787536,-47.39001524856293
-20.831913216350653,-9.460969814968614,-47.711001155462085
-19.40256689210726,-10.305088755374179,-48.031873644727085
-19.08026330568633,-10.564179665430224,-48.25122196632074
-18.70190692573955,-10.796661814721917,-48.21741736343284
-18.743946523511415,-10.977264157371982,-48.37948829336825
-18.42164293709049,-10.984909513769447,-48.30909558137893
-17.55282459014522,-12.109085328092752,-48.29206233126069
-17.048349416882846,-12.637912284485944,-48.452387697466996
-15.801174679480898,-14.42761536504772,-48.4985245048758
-14.932356322025733,-16.30612784059606,-48.1517794907438
-15.128541115131066,-17.391071544552265,-47.7994642988258
-16.16551786367369,-16.38862962525362,-47.80354704951938
-16.978283417093106,-16.648733972677608,-47.48281126622534
-11.807412891153772,-18.629295345076688,-48.467130115667814
-11.28892452213741,-18.096795696862245,-48.81303999220861
-11.82142608690776,-17.497457946899914,-48.82544108337562
-11.471096108978855,-17.994690019630813,-48.765489915875996
-11.064713327014198,-17.808761059833863,-48.64975424053618
-10.27997417245969,-18.288359355374673,-49.06819873302221
-8.962733441573944,-18.99012707066418,-49.332227799002254
-7.939769896142239,-19.7687294277598,-48.57989378884057
-7.295162730657314,-20.077373286315225,-48.54163450250803
-6.608515966349533,-20.442891151494024,-48.531689245435764
-1.5497510348188352,-21.31722666591733,-48.78381824279893
-0.5408006882940873,-21.355129149182435,-48.916626315568855
-0.036325515031713454,-20.906112278807665,-49.04444694171442
0.7624268426337121,-20.911090272262264,-48.92578101870942
2.0936807724264175,-20.94266891791686,-48.66047174292145
3.4669742989399976,-20.59807645344749,-48.96878836560246
5.470861793082536,-19.891273964347622,-48.87945808383005
7.2925776961796664,-19.75288728481639,-49.02993732234768
9.380544385865933,-18.363588555661238,-49.18588193110443
11.048115100986527,-17.006225225445913,-49.2203644345957
17.17188316941485,-15.04213818749796,-47.72408880459402
18.643269091430106,-14.699872570619144,-47.33766668728376
19.918470230849934,-13.067787092122517,-47.34986424996985
21.01149977291841,-10.453536508817026,-47.54930859493253
21.207684555513843,-9.298746813991842,-47.76166919469241
20.98347337090053,-8.329553682976632,-48.10337565298608
22.06248971721502,-6.427399761657272,-47.60301196710103
