1739394783.7968469,21:15:52.00,-390,-61,-4009,23,40,-12,228,-108,-71,6.22,982,-356,-2663,2.875,2.51,979.82,65.491,3,114,1,6,4,0,5,7,14,10,10
1739394783.8812997,21:15:52.08,-394,-60,-3993,16,27,-17,225,-113,-61,6.22,976,-368,-2666,2.875,2.52,979.8,65.497,3,101,0,11,7,1,0,4,15,10,10
1739394783.9549842,21:15:52.16,-392,-71,-4010,24,40,-15,232,-114,-62,6.37,969,-350,-2679,2.875,2.53,979.81,65.497,3,84,12,6,3,2,2,8,14,10,10
1739394784.034082,21:15:52.24,-386,-38,-3959,21,36,-15,224,-117,-62,6.37,988,-379,-2689,2.875,2.54,979.8,65.516,3,100,6,3,0,13,4,10,14,10,11
1739394784.1176043,21:15:52.32,-405,-34,-3995,15,40,-12,223,-110,-69,6.37,958,-370,-2656,2.875,2.56,979.8,65.521,2,99,1,0,0,0,4,6,15,11,10
1739394784.1986907,21:15:52.40,-405,-64,-4013,18,41,-8,230,-115,-66,6.37,978,-365,-2683,2.875,2.57,979.8,65.516,3,107,9,7,2,2,0,7,14,11,11
1739394784.2716258,21:15:52.47,-421,-52,-3995,20,34,-9,219,-112,-62,6.22,969,-369,-2664,2.9375,2.58,979.79,65.539,3,98,0,0,8,5,6,7,14,11,11
1739394784.3446367,21:15:52.55,-447,-79,-3989,15,42,-13,224,-109,-65,6.37,983,-360,-2672,2.9375,2.59,979.8,65.532,3,89,1,16,0,4,0,4,15,11,11
1739394784.4176672,21:15:52.62,-432,-91,-3980,24,30,-12,229,-114,-70,6.37,976,-368,-2663,2.9375,2.6,979.79,65.545,3,114,0,1,3,8,0,8,14,10,10
1739394784.4905107,21:15:52.69,-425,-91,-3980,27,34,-12,229,-117,-65,6.22,958,-351,-2671,3.0,2.61,979.8,65.564,3,91,12,4,6,5,2,10,15,11,10
1739394784.7970335,21:15:53.00,-413,-61,-3993,17,43,-7,223,-115,-66,6.22,968,-369,-2694,3.0,2.61,979.8,65.564,3,90,0,4,6,1,0,15,15,9,9
