mag_x,mag_y,mag_z
7.4,5,24.54666667
7.4,4.866666667,24.77333333
7.306666667,5.04,24.64
7.44,4.906666667,24.78666667
7.44,4.973333333,24.90666667
7.426666667,4.906666667,24.82666667
7.333333333,5.053333333,24.46666667
7.386666667,4.853333333,24.98666667
7.253333333,5.066666667,24.49333333
7.253333333,4.933333333,24.81333333
7.306666667,4.893333333,24.86666667
7.213333333,5.093333333,24.50666667
7.373333333,4.84,25
7.306666667,5.04,24.29333333
7.373333333,5.026666667,24.81333333
7.213333333,4.986666667,24.61333333
7.72,4.72,24.88
7.333333333,4.973333333,24.58666667
7.28,4.986666667,24.86666667
7.4,4.88,25.10666667
7.386666667,4.906666667,24.84
7.386666667,4.76,25.06666667
7.306666667,4.92,24.94666667
7.346666667,4.813333333,25.10666667
7.386666667,4.826666667,25.14666667
7.4,4.826666667,24.97333333
7.386666667,4.72,25.24
7.32,5,24.53333333
7.56,4.92,24.85333333
7.72,4.866666667,24.4
7.906666667,4.68,24.61333333
7.906666667,4.533333333,24.58666667
7.813333333,4.68,24.22666667
7.906666667,4.653333333,24.34666667
7.84,4.64,24.38666667
7.8,4.68,24.12
7.8,4.52,24.32
7.746666667,4.506666667,24.30666667
7.8,4.533333333,24.14666667
7.906666667,4.226666667,24.77333333
7.933333333,4.266666667,25.05333333
7.88,4.226666667,24.66666667
8,4.186666667,25.05333333
7.946666667,4.266666667,24.78666667
7.973333333,4.106666667,25.02666667
7.946666667,4.146666667,25.06666667
7.986666667,4.213333333,25.14666667
7.986666667,4.2,24.82666667
8.013333333,4.133333333,25.05333333
7.893333333,4.4,24.49333333
7.64,4.213333333,24.50666667
7.853333333,4.36,24.4
7.906666667,4.266666667,24.49333333
7.88,4.44,24.34666667
7.933333333,4.32,24.74666667
8.013333333,4.266666667,24.82666667
8,4.4,24.41333333
7.88,5.12,23.90666667
8.506666667,4.066666667,24.86666667
7.986666667,4.253333333,24.70666667
7.933333333,4.2,24.88
8,4.093333333,25.21333333
8.04,4.2,24.88
7.986666667,4.306666667,24.84
8.04,4.12,24.97333333
7.986666667,4.266666667,24.81333333
8.053333333,4.146666667,24.97333333
7.4,4.173333333,25.06666667
8.013333333,4.373333333,24.09333333
8,4.24,24.81333333
7.906666667,4.386666667,24.36
7.96,4.333333333,24.54666667
7.92,4.36,24.42666667
7.973333333,4.24,24.68
7.933333333,4.4,24.52
7.973333333,4.213333333,24.72
7.96,4.226666667,24.74666667
7.986666667,4.453333333,24.45333333
8.026666667,4.266666667,24.61333333
8,4.28,24.68
8,4.213333333,24.64
7.946666667,4.346666667,24.6
7.986666667,4.266666667,24.56
8.026666667,4.173333333,24.93333333
7.88,4.533333333,24.22666667
7.88,4.666666667,23.85333333
7.96,4.453333333,24.32
7.96,4.426666667,24.37333333
7.946666667,4.373333333,24.41333333
7.96,4.413333333,24.01333333
7.973333333,4.386666667,24.38666667
7.853333333,4.333333333,24.33333333
7.906666667,4.32,24.56
8,4.293333333,24.84
7.893333333,4.2,24.78666667
7.266666667,5.253333333,25.33333333
7.173333333,4.893333333,25.33333333
7.16,4.786666667,25.29333333
7.16,4.893333333,25.44
7.16,4.786666667,25.45333333
7.24,4.84,25.53333333
7.253333333,4.786666667,25.66666667
7.2,4.68,25.53333333
7.2,4.72,25.68
7.32,4.76,25.72
7.253333333,4.693333333,25.66666667
7.56,4.253333333,25.69333333
6.64,4.693333333,25.66666667
7.28,4.693333333,25.22666667
7.226666667,4.666666667,25.68
7.2,4.813333333,25.45333333
7.2,4.84,25.45333333
7.293333333,4.733333333,25.72
7.293333333,4.706666667,25.38666667
7.253333333,4.773333333,25.61333333
7.266666667,4.693333333,25.6
7.24,4.76,25.56
7.213333333,4.706666667,25.46666667
7.266666667,4.653333333,25.69333333
7.16,4.893333333,25.28
7.16,4.92,25.16
7.173333333,4.786666667,25.37333333
7.213333333,4.786666667,25.44
7.133333333,4.773333333,25.38666667
7.24,4.746666667,25.38666667
7.24,4.866666667,25.48
7.173333333,4.84,25.69333333
7.893333333,4.28,25.48
7.16,4.773333333,25.45333333
