1745446969.1779554,'1745446969.1783245,-415,-146,-4151,396,159,4599,144,-59,-25,34.16,650,492,-1940,error,31.46,988.53,25.69,4,24,0,9,69,4,0,24,27,92,41,2597
1745446969.4335968,'1745446969.434051,-470,-220,-4078,383,150,4494,102,-16,-10,33.97,122,647,-1998,error,31.46,988.54,25.68,4,28,2,0,89,0,9,30,24,58,11,2598
1745446969.5165024,'1745446969.5168638,-441,-208,-4069,399,155,4510,91,-28,-4,34.21,-59,600,-2062,error,31.45,988.55,25.68,4,26,0,0,99,14,1,29,27,64,11,2597
1745446969.599209,'1745446969.5995557,-364,-143,-4000,397,159,4620,67,-31,-15,33.88,-226,537,-2129,error,31.45,988.55,25.68,4,26,10,2,100,10,3,29,35,70,11,2598
1745446969.6819112,'1745446969.6822598,-469,-204,-3934,397,158,4585,49,-43,-31,34.02,-396,462,-2181,error,31.46,988.54,25.68,3,27,0,5,62,52,8,27,52,75,13,2598
1745446969.764576,'1745446969.7649198,-466,-145,-4088,397,150,4604,34,-56,-24,34.02,-539,343,-2175,error,31.46,988.54,25.68,3,22,0,2,24,96,2,30,68,80,15,2597
1745446969.8472326,'1745446969.8475766,-432,-175,-3965,388,164,4569,25,-64,-30,33.97,-662,203,-2170,error,31.46,988.53,25.68,4,25,3,0,5,116,0,29,89,79,20,2597
1745446969.9298837,'1745446969.9302263,-489,-201,-4007,380,155,4576,30,-80,-27,34.12,-753,48,-2173,error,31.46,988.53,25.669,4,22,0,9,4,141,5,31,102,72,21,2597
1745446970.0125256,'1745446970.012868,-447,-158,-4086,371,136,4554,17,-101,-36,33.88,-793,-128,-2159,error,31.47,988.52,25.676,4,23,1,0,0,130,6,32,106,64,23,2598
1745446970.0951622,'1745446970.0955021,-423,-126,-3976,325,119,4499,17,-117,-31,34.31,-780,-310,-2128,error,31.47,988.55,25.676,3,22,0,2,0,103,3,27,106,58,27,2598
1745446970.1778142,'1745446970.178154,-341,-52,-4062,463,114,4539,25,-126,-37,33.83,-732,-497,-2092,error,31.47,988.54,25.676,4,22,0,7,1,77,0,28,104,53,30,2597
1745446970.4337702,'1745446970.4342167,-422,-127,-4002,372,104,4568,43,-179,-27,34.21,-488,-875,-2028,error,31.47,988.52,25.676,4,23,71,0,0,17,2,33,118,45,53,2598
1745446970.5166326,'1745446970.5169804,-454,-78,-3974,422,124,4481,64,-178,-29,34.16,-342,-994,-2037,error,31.46,988.52,25.664,4,22,102,12,1,4,0,27,138,52,74,2598
1745446970.5993319,'1745446970.5996747,-536,-41,-4038,431,134,4503,76,-191,-19,34.21,-177,-1082,-2034,error,31.46,988.52,25.664,3,24,132,1,2,11,2,30,157,62,113,2597
1745446970.6819851,'1745446970.6823256,-492,-37,-3903,387,140,4565,90,-187,-20,34.21,-26,-1121,-2033,error,31.46,988.53,25.669,4,24,134,9,1,0,6,29,171,73,152,2597
1745446970.7645955,'1745446970.7649379,-442,-113,-4105,394,143,4570,111,-185,-21,34.21,129,-1116,-2022,error,31.46,988.52,25.659,4,24,104,2,0,0,0,24,173,87,191,2597
1745446970.8472521,'1745446970.8475966,-402,-131,-3960,426,146,4577,123,-180,-14,33.97,288,-1086,-2033,error,31.47,988.52,25.66,4,25,78,12,3,0,0,35,103,60,133,2598
1745446970.934317,'1745446970.9351094,-341,-34,-4084,428,135,4585,128,-173,-14,34.21,534,-1069,-1955,error,31.47,988.55,25.671,4,24,57,18,10,3,0,37,81,66,188,2598
1745446971.0363388,'1745446971.0372329,-453,-61,-4017,418,136,4561,153,-178,-21,34.12,722,-913,-1905,error,31.47,988.54,25.66,3,25,23,63,1,8,1,37,69,71,148,2597
